Ligand,Binding Affinity,rmsd/ub, rmsd/lb
Prepared_protein_10364_uff_E=78.47,-5.5,0.0,0.0
Prepared_protein_10364_uff_E=78.47,-5.4,5.245,3.426
Prepared_protein_10364_uff_E=78.47,-5.3,3.272,2.147
Prepared_protein_10364_uff_E=78.47,-5.2,4.818,2.295
Prepared_protein_10364_uff_E=78.47,-5.1,5.516,2.844
Prepared_protein_10364_uff_E=78.47,-5.1,5.112,2.553
Prepared_protein_10364_uff_E=78.47,-5.1,17.446,16.164
Prepared_protein_10364_uff_E=78.47,-5.1,2.006,1.761
Prepared_protein_10364_uff_E=78.47,-4.8,4.903,2.971
Prepared_protein_10399139_uff_E=499.13,-6.8,0.0,0.0
Prepared_protein_10399139_uff_E=499.13,-6.4,4.715,1.819
Prepared_protein_10399139_uff_E=499.13,-6.3,3.088,1.854
Prepared_protein_10399139_uff_E=499.13,-6.2,4.503,1.738
Prepared_protein_10399139_uff_E=499.13,-6.1,6.091,3.145
Prepared_protein_10399139_uff_E=499.13,-5.9,4.331,3.35
Prepared_protein_10399139_uff_E=499.13,-5.9,16.71,15.159
Prepared_protein_10399139_uff_E=499.13,-5.9,16.12,14.48
Prepared_protein_10399139_uff_E=499.13,-5.7,17.065,14.368
Prepared_protein_10921989_uff_E=201.16,-6.3,0.0,0.0
Prepared_protein_10921989_uff_E=201.16,-6.3,5.981,2.363
Prepared_protein_10921989_uff_E=201.16,-6.2,3.976,2.36
Prepared_protein_10921989_uff_E=201.16,-6.1,4.846,2.285
Prepared_protein_10921989_uff_E=201.16,-6.1,2.434,1.799
Prepared_protein_10921989_uff_E=201.16,-6.0,3.522,1.963
Prepared_protein_10921989_uff_E=201.16,-6.0,2.79,1.606
Prepared_protein_10921989_uff_E=201.16,-5.9,2.551,1.902
Prepared_protein_10921989_uff_E=201.16,-5.8,6.041,2.166
Prepared_protein_10955433_uff_E=149.92,-6.5,0.0,0.0
Prepared_protein_10955433_uff_E=149.92,-6.0,4.461,2.378
Prepared_protein_10955433_uff_E=149.92,-5.8,6.681,1.79
Prepared_protein_10955433_uff_E=149.92,-5.8,4.208,2.151
Prepared_protein_10955433_uff_E=149.92,-5.8,2.397,1.802
Prepared_protein_10955433_uff_E=149.92,-5.7,6.462,2.606
Prepared_protein_10955433_uff_E=149.92,-5.6,2.277,1.616
Prepared_protein_10955433_uff_E=149.92,-5.6,6.415,2.243
Prepared_protein_10955433_uff_E=149.92,-5.6,20.643,18.772
Prepared_protein_11117927_uff_E=248.25,-6.8,0.0,0.0
Prepared_protein_11117927_uff_E=248.25,-6.6,4.472,2.393
Prepared_protein_11117927_uff_E=248.25,-6.5,2.173,1.959
Prepared_protein_11117927_uff_E=248.25,-6.5,3.777,2.098
Prepared_protein_11117927_uff_E=248.25,-6.3,5.419,2.446
Prepared_protein_11117927_uff_E=248.25,-6.2,5.495,2.274
Prepared_protein_11117927_uff_E=248.25,-5.8,17.681,15.701
Prepared_protein_11117927_uff_E=248.25,-5.8,6.476,2.888
Prepared_protein_11117927_uff_E=248.25,-5.7,3.889,2.193
Prepared_protein_11230_uff_E=155.64,-5.3,0.0,0.0
Prepared_protein_11230_uff_E=155.64,-5.0,4.439,1.271
Prepared_protein_11230_uff_E=155.64,-4.9,3.111,2.154
Prepared_protein_11230_uff_E=155.64,-4.9,1.877,1.173
Prepared_protein_11230_uff_E=155.64,-4.9,5.183,3.226
Prepared_protein_11230_uff_E=155.64,-4.7,4.591,1.439
Prepared_protein_11230_uff_E=155.64,-4.7,4.23,1.446
Prepared_protein_11230_uff_E=155.64,-4.7,21.898,20.69
Prepared_protein_11230_uff_E=155.64,-4.7,5.17,4.14
Prepared_protein_11230_uff_E=237.00,-4.8,0.0,0.0
Prepared_protein_11230_uff_E=237.00,-4.8,18.067,16.125
Prepared_protein_11230_uff_E=237.00,-4.8,3.866,1.334
